Wavelength,H_blocker,K,L,M
1.34989,0.00268327,0.0160887,0.0018661,0.00180864
1.35026,0.000867708,0.0159135,0.00268078,0.00134444
1.35062,0.00035193,0.0187046,0.0015564,0.00120783
1.35099,0.000980852,0.017962,0.00305724,0.000875711
1.35135,0.00225325,0.0191121,-4.08E-05,0.00190353
1.35172,0.00127046,0.0172963,0.00137448,0.00210261
1.35208,0.00234116,0.0168943,0.00135231,0.000729322
1.35245,0.00176542,0.0170026,0.000590086,0.00249171
1.35281,0.000791489,0.0180197,0.00153232,0.00236821
1.35318,0.000538017,0.0198369,0.00118971,0.00064373
1.35355,0.000497457,0.0174182,0.000592709,0.00244379
1.35391,0.000872735,0.0152702,0.00265956,0.000754118
1.35428,0.00111,0.0169022,0.00151229,0.0006423
1.35465,0.00213533,0.0181558,0.00271273,0.00260568
1.35501,0.000844225,0.0201147,0.00262284,0.00106358
1.35538,0.000193468,0.0169406,0.00074172,0.00218487
1.35575,0.0007679,0.0171514,0.000790119,0.00277424
1.35612,0.00241314,0.0183165,0.00181651,0.000556946
1.35648,0.00285276,0.0168574,0.00143814,0.00168848
1.35685,0.00199173,0.0171299,0.000845194,0.00114059
1.35722,0.0010527,0.0174666,0.00104356,0.00120664
1.35759,0.00129231,0.018825,0.00145578,0.00331831
1.35796,0.00179593,0.017205,0.00176668,0.00136971
1.35833,0.00121645,0.0211875,0.00139308,0.00135231
1.3587,0.00087899,0.0188806,0.000302076,0.0029192
1.35906,0.00128918,0.0184307,0.00245333,0.00131154
1.35943,0.00207605,0.0165226,0.00110173,0.00172663
1.3598,0.0015145,0.0197163,0.00232506,0.00230908
1.36017,0.000483678,0.0172963,0.00166106,0.00306225
1.36054,0.00270612,0.0171053,0.00260091,0.00252104
1.36091,0.00274047,0.0193605,0.000783443,0.00199509
1.36129,0.00215757,0.0206139,0.000563621,0.00102949
1.36166,0.00130838,0.0169396,0.00167751,0.000941992
1.36203,0.00189077,0.0172701,0.00172138,0.00178051
1.3624,0.000983793,0.0180998,0.00170946,0.00154185
1.36277,0.00146479,0.0174301,0.00209522,0.00113201
1.36314,0.00139708,0.0170722,0.000854015,0.000830174
1.36351,0.000705458,0.0196359,0.00145745,0.000650406
1.36388,0.000790075,0.0172336,0.00179243,0.0010488
1.36426,0.00200898,0.0175617,0.00214982,0.0017724
1.36463,0.00172629,0.0188003,0.000946522,0.00278139
1.365,0.0021712,0.0170693,0.00127173,0.00137854
1.36537,0.0012473,0.0187263,0.00140786,0.0020752
1.36575,0.00153639,0.018249,0.00159478,0.0014441
1.36612,0.00150078,0.0198686,0.0013063,0.00131416
1.36649,0.00066625,0.0188267,0.00040698,0.00179243
